"","X0.","X25.","X50.","X75.","X100."
"weather-station_density",0.181357219815254,0.454262927174568,0.519435375928879,0.600092172622681,0.822499334812164
"cv-precipitation_agreement",0,0,0.25,0.25,1
"seasonal_frcst_skill",0.00650138314813375,0.224992878735065,0.287073597311974,0.366456747055054,1
"short-term_frcst_skill",0,0.168277069926262,0.235920622944832,0.3741814494133,1
"cloud-coverage_meanannual",0,0.453975454408842,0.649519390806868,0.827528969173555,1
"cis_readiness_index",0,0.252795685082674,0.326392434537411,0.400171905755997,0.734490290284157
