"admin0_name","admin1_name","admin2_name","iso3","gaul0_code","gaul1_code","gaul2_code","weather-station_density","cv-precipitation_agreement","seasonal_frcst_skill","short-term_frcst_skill","cloud-coverage_meanannual","cis_readiness_index"
"Algeria","Adrar","Adrar","DZA",101,1001,100001,0.4526682198047638,"0.0",0.2262064516544342,0.23865677416324615,0.8626255393028259,0.22938285768032074
"Algeria","Adrar","Akabili","DZA",101,1001,100002,0.431691974401474,"0.0",0.2555698752403259,0.2969011962413788,0.8517886996269226,0.24604076147079468
"Algeria","Adrar","Aougrout","DZA",101,1001,100003,0.47024810314178467,"0.018366465345025063",0.2601630985736847,0.2672582268714905,0.8431997299194336,0.2540089786052704
"Algeria","Adrar","Aoulef","DZA",101,1001,100004,0.4301827549934387,"0.0",0.233394056558609,0.3146340548992157,0.8489471077919006,0.24455273151397705
"Algeria","Adrar","Bordj Badji Mokhtar","DZA",101,1001,100005,0.3563438355922699,"0.030106930062174797",0.39274001121520996,0.19025932252407074,0.8295549154281616,0.249016672372818
"Algeria","Adrar","Bouda","DZA",101,1001,100006,0.4597058594226837,"0.0",0.3390730023384094,0.21696168184280396,0.8757315874099731,0.2539351284503937
"Algeria","Adrar","Deldoul","DZA",101,1001,100007,0.4789120852947235,"0.0",0.2979886829853058,0.20396557450294495,0.8722978830337524,0.24521657824516296
"Algeria","Adrar","Fenoughil","DZA",101,1001,100008,0.4453887641429901,"0.0",0.3201843500137329,0.24344973266124725,0.8693907856941223,0.25225570797920227
"Algeria","Adrar","Gharouine","DZA",101,1001,100009,0.48897138237953186,"0.024258403107523918",0.3065066635608673,0.17764155566692352,0.8751829266548157,0.24934451282024384
"Algeria","Adrar","Inzegmir","DZA",101,1001,100010,0.4208751618862152,"0.0",0.32599928975105286,0.28551268577575684,0.8710348606109619,0.2580967843532562
"Algeria","Adrar","Ksar Kaddour","DZA",101,1001,100011,0.5182280540466309,"0.11396156996488571",0.3322320580482483,0.1772352159023285,0.870988130569458,0.2854141891002655
"Algeria","Adrar","Metarfa","DZA",101,1001,100012,0.4703103303909302,"0.0",0.2675577700138092,0.21681436896324158,0.862307071685791,0.23867063224315643
"Algeria","Adrar",\N,"DZA",101,1001,\N,0.40912580490112305,"0.02488461695611477",0.3590211570262909,0.2268526405096054,0.8458064794540405,0.2565160393714905
"Algeria","Adrar","Ouled Ahmed Timi","DZA",101,1001,100013,0.4546899199485779,"0.0",0.3545527756214142,0.21778562664985657,0.8760532140731812,0.25675708055496216
"Algeria","Adrar","Ouled Aissa","DZA",101,1001,100014,0.5054836869239807,"0.08469491451978683",0.3079620599746704,0.17476393282413483,0.8761341571807861,0.26822614669799805
"Algeria","Adrar","Ouled Said","DZA",101,1001,100015,0.4950169324874878,"0.0",0.3207770884037018,0.19483551383018494,0.8809655904769897,0.25265738368034363
"Algeria","Adrar","Reggane","DZA",101,1001,100016,0.3803289234638214,"0.0049051339738070965",0.3952183425426483,0.23151430487632751,0.8432555198669434,0.2529916763305664
"Algeria","Adrar","Sali","DZA",101,1001,100017,0.40799006819725037,"0.007068760693073273",0.35451579093933105,0.2684588134288788,0.8651826977729797,0.259508341550827
"Algeria","Adrar","Sebaa","DZA",101,1001,100018,0.4664730131626129,"0.0",0.32835331559181213,0.20377419888973236,0.8708240389823914,0.24965013563632965
"Algeria","Adrar","Talmine","DZA",101,1001,100019,0.5023158192634583,"0.1287187933921814",0.2996707856655121,0.15471328794956207,0.8783429265022278,0.27135467529296875
"Algeria","Adrar","Tamentit","DZA",101,1001,100020,0.4537462592124939,"0.0",0.20866411924362183,0.26165860891342163,0.844783365726471,0.23101724684238434
"Algeria","Adrar","Tamest","DZA",101,1001,100021,0.438210129737854,"0.0016417717561125755",0.34706926345825195,0.24802294373512268,0.8733571171760559,0.2587360143661499
"Algeria","Adrar","Timiaouine","DZA",101,1001,100022,0.422750860452652,"0.2627035081386566",0.41075459122657776,nan,0.7838853597640991,0.3509886860847473
"Algeria","Adrar","Timimoun","DZA",101,1001,100023,0.4862862527370453,"0.0033049103803932667",0.36857864260673523,0.2243039608001709,0.8652955293655396,0.2706184387207031
"Algeria","Adrar","Timokten","DZA",101,1001,100024,0.4474237561225891,"0.04500060901045799",0.2098238170146942,0.3029913604259491,0.8380455374717712,0.25130990147590637
"Algeria","Adrar","Tinerkouk","DZA",101,1001,100025,0.5117230415344238,"0.016578901559114456",0.3704623579978943,0.19746015965938568,0.8646208047866821,0.2740561366081238
"Algeria","Adrar","Tit","DZA",101,1001,100026,0.4389479458332062,"0.007372317370027304",0.21940085291862488,0.31080862879753113,0.8594276905059814,0.24413244426250458
"Algeria","Adrar","Tsabit","DZA",101,1001,100027,0.4810628890991211,"0.000767586228903383",0.3217065930366516,0.17372295260429382,0.8739475607872009,0.2443150132894516
"Algeria","Adrar","Zaouiet Kounta","DZA",101,1001,100028,0.42885687947273254,"0.001791109680198133",0.3285188674926758,0.27047303318977356,0.8703026175498962,0.2574099600315094
"Algeria","Ain-Defla","Ain Benian","DZA",101,1002,100029,0.6359097957611084,"0.25",0.2123778760433197,0.1620388627052307,0.5727975964546204,0.3150816559791565
"Algeria","Ain-Defla","Ain Bouyahia","DZA",101,1002,100030,0.6439436078071594,"0.25",0.1758243888616562,0.16011175513267517,0.58833247423172,0.3074699342250824
"Algeria","Ain-Defla","Ain Lechiakh","DZA",101,1002,100031,0.6326504349708557,"0.2526452839374542",0.2101205587387085,0.16137050092220306,0.6044979095458984,0.3141966760158539
