"","X0.","X20.","X40.","X60.","X80.","X100."
"weather-station_density",0.181357219815254,0.439793258905411,0.491465824842453,0.545994305610657,0.624284148216248,0.822499334812164
"cv-precipitation_agreement",0,0,0,0.25,0.5,1
"seasonal_frcst_skill",0.00650138314813375,0.211011344194412,0.262422221899033,0.31366360783577,0.392832404375076,1
"short-term_frcst_skill",0,0.155319854617119,0.207284614443779,0.272977215051651,0.423706960678101,1
"cloud-coverage_meanannual",0,0.404002005999292,0.566210119762552,0.733558916491331,0.846872213092941,1
"cis_readiness_index",0,0.24112057313323,0.295210286974907,0.355287820100784,0.418120481073856,0.734490290284157
